Soundfile,Left time (sec),Right time (sec),Species,
ICLISTENHF1251_20140101T000159.729Z.wav,4.72203,6.08841,HB,
ICLISTENHF1251_20140101T000159.729Z.wav,68.28692,69.27152,HB,
ICLISTENHF1251_20140101T000159.729Z.wav,119.1085,124.1085,NN,
ICLISTENHF1251_20140101T000159.729Z.wav,271.5444,271.9061,FW,
ICLISTENHF1251_20140101T001159.731Z.wav,243.0684,244.2137,HB,
ICLISTENHF1251_20140101T001159.731Z.wav,244.5754,244.9773,FW,
ICLISTENHF1251_20140101T002159.733Z.wav,293.192,294.4177,FW,
ICLISTENHF1251_20140101T003159.734Z.wav,1.36637,2.81313,HB,
ICLISTENHF1251_20140101T003159.734Z.wav,221.4586,222.182,FW,
ICLISTENHF1251_20140101T004159.736Z.wav,177.6536,182.6569,NN,
ICLISTENHF1251_20140101T004159.736Z.wav,185.1104,186.095,FW,
ICLISTENHF1251_20140101T005159.738Z.wav,240.3793,240.8816,FW,
ICLISTENHF1251_20140101T010159.740Z.wav,11.25409,12.13823,FW,
ICLISTENHF1251_20140101T010159.740Z.wav,138.7057,140.2328,HB,
ICLISTENHF1251_20140101T011159.741Z.wav,17.62923,18.85495,HB,
ICLISTENHF1251_20140101T011159.741Z.wav,43.67083,44.09279,FW,
ICLISTENHF1251_20140101T012159.743Z.wav,47.02649,47.62931,FW,
ICLISTENHF1251_20140101T012159.743Z.wav,112.5327,113.4168,HB,
ICLISTENHF1251_20140101T013159.745Z.wav,182.1616,182.6238,FW,
ICLISTENHF1251_20140101T014159.747Z.wav,107.7743,108.4776,FW,
ICLISTENHF1251_20140101T014159.747Z.wav,196.5763,197.601,FW,
ICLISTENHF1251_20140101T014159.747Z.wav,261.6675,262.7124,UN|FW|SW,
ICLISTENHF1251_20140101T015159.749Z.wav,10.16633,10.84952,FW,
ICLISTENHF1251_20140101T015159.749Z.wav,231.1593,232.0233,UN|FW|SW,
ICLISTENHF1251_20140101T020159.751Z.wav,75.96897,76.85308,UN|FW|SW,
ICLISTENHF1251_20140101T020159.751Z.wav,214.9289,216.1948,HB,
ICLISTENHF1251_20140101T021159.752Z.wav,10.10716,11.03148,UN|FW|SW,
ICLISTENHF1251_20140101T021159.752Z.wav,78.60585,79.63063,HB,
ICLISTENHF1251_20140101T021159.752Z.wav,81.17941,82.164,FW,
ICLISTENHF1251_20140101T022159.754Z.wav,180.1751,181.3204,HB,
ICLISTENHF1251_20140101T022159.754Z.wav,189.5388,190.4631,FW,
ICLISTENHF1251_20140101T022159.754Z.wav,226.7904,227.775,UN|FW|SW,
ICLISTENHF1251_20140101T023159.756Z.wav,3.72164,4.44502,FW,
ICLISTENHF1251_20140101T023159.756Z.wav,24.96076,26.4477,HB,
ICLISTENHF1251_20140101T024159.758Z.wav,14.11554,15.54219,HB,
ICLISTENHF1251_20140101T024159.758Z.wav,15.22069,15.80341,FW,
ICLISTENHF1251_20140101T025159.758Z.wav,9.18285,11.33289,HB,
ICLISTENHF1251_20140101T025159.758Z.wav,104.9129,105.7166,FW,
ICLISTENHF1251_20140101T030159.758Z.wav,3.43221,5.01962,HB,
ICLISTENHF1251_20140101T030159.758Z.wav,6.34581,7.37059,FW,
ICLISTENHF1251_20140101T031159.758Z.wav,15.0387,16.26442,HB,
ICLISTENHF1251_20140101T031159.758Z.wav,160.6253,161.4693,FW,
ICLISTENHF1251_20140101T032159.758Z.wav,16.77177,17.69608,FW,
ICLISTENHF1251_20140101T032159.758Z.wav,94.17818,96.04691,HB,
ICLISTENHF1251_20140101T033159.758Z.wav,21.08266,22.28829,HB,
ICLISTENHF1251_20140101T033159.758Z.wav,243.1761,244.0804,FW,
ICLISTENHF1251_20140101T034159.759Z.wav,173.0908,175.2007,HB,
ICLISTENHF1251_20140101T035159.759Z.wav,65.35864,65.8208,FW,
ICLISTENHF1251_20140101T035159.759Z.wav,99.79673,100.8014,HB,
ICLISTENHF1251_20140101T040159.760Z.wav,21.23912,23.18821,HB,
ICLISTENHF1251_20140101T040159.760Z.wav,27.03041,27.57295,FW,
ICLISTENHF1251_20140101T041159.760Z.wav,11.95579,13.06095,HB,
ICLISTENHF1251_20140101T041159.760Z.wav,16.37641,17.46149,FW,
ICLISTENHF1251_20140101T042159.761Z.wav,8.6821,10.57091,HB,
ICLISTENHF1251_20140101T042159.761Z.wav,11.86889,13.29555,FW,
ICLISTENHF1251_20140101T043159.761Z.wav,8.69678,10.26408,HB,
ICLISTENHF1251_20140101T043159.761Z.wav,277.5648,277.9868,FW,
ICLISTENHF1251_20140101T044159.762Z.wav,3.01407,4.09912,HB,
ICLISTENHF1251_20140101T044159.762Z.wav,3.97857,4.68185,FW,
ICLISTENHF1251_20140101T045159.764Z.wav,27.01608,28.36236,HB,
ICLISTENHF1251_20140101T045159.764Z.wav,135.874,137.0998,FW,
ICLISTENHF1251_20140101T050159.767Z.wav,27.13664,28.14133,FW,
ICLISTENHF1251_20140101T050159.767Z.wav,71.43335,72.65908,HB,
ICLISTENHF1251_20140101T051159.769Z.wav,27.27728,28.58339,HB,
ICLISTENHF1251_20140101T051159.769Z.wav,51.59076,52.13328,FW,
ICLISTENHF1251_20140101T052159.772Z.wav,66.01808,67.28399,HB,
ICLISTENHF1251_20140101T052159.772Z.wav,164.7689,165.432,FW,
ICLISTENHF1251_20140101T053159.775Z.wav,15.27127,17.38111,HB,
ICLISTENHF1251_20140101T053159.775Z.wav,133.1312,133.7541,FW,
ICLISTENHF1251_20140101T054159.777Z.wav,15.48225,18.49632,HB,
ICLISTENHF1251_20140101T054159.777Z.wav,47.5921,48.29538,FW,
ICLISTENHF1251_20140101T055159.779Z.wav,23.58004,24.84594,HB,
ICLISTENHF1251_20140101T055159.779Z.wav,235.7903,237.5184,FW,
ICLISTENHF1251_20140101T060159.781Z.wav,15.98459,16.929,FW,
ICLISTENHF1251_20140101T060159.781Z.wav,85.97119,87.45814,HB,
ICLISTENHF1251_20140101T061159.784Z.wav,24.00201,27.47823,HB,
ICLISTENHF1251_20140101T061159.784Z.wav,229.5311,229.9732,FW,
ICLISTENHF1251_20140101T062159.786Z.wav,132.0361,132.4179,FW,
ICLISTENHF1251_20140101T062159.786Z.wav,209.4072,211.075,HB,
ICLISTENHF1251_20140101T063159.788Z.wav,129.1024,130.1875,HB,
ICLISTENHF1251_20140101T063159.788Z.wav,138.2652,138.7273,FW,
ICLISTENHF1251_20140101T064159.790Z.wav,172.2639,172.6456,FW,
ICLISTENHF1251_20140101T064159.790Z.wav,223.0107,224.6985,HB,
ICLISTENHF1251_20140101T065159.792Z.wav,28.26189,29.68854,HB,
ICLISTENHF1251_20140101T065159.792Z.wav,143.801,144.5244,FW,
ICLISTENHF1251_20140101T070159.795Z.wav,80.0134,80.73677,HB,
ICLISTENHF1251_20140101T070159.795Z.wav,81.68117,82.2237,FW,
ICLISTENHF1251_20140101T071159.797Z.wav,11.15204,12.86001,HB,
ICLISTENHF1251_20140101T071159.797Z.wav,220.4588,221.0013,FW,
ICLISTENHF1251_20140101T072159.799Z.wav,1.52713,2.67247,HB,
ICLISTENHF1251_20140101T072159.799Z.wav,130.0669,130.4889,FW,
ICLISTENHF1251_20140101T073159.800Z.wav,29.1862,29.40723,FW,
ICLISTENHF1251_20140101T073159.800Z.wav,275.6463,276.9122,HB,
ICLISTENHF1251_20140101T074159.802Z.wav,6.67112,8.33891,HB,
ICLISTENHF1251_20140101T074159.802Z.wav,187.6557,188.0777,FW,
ICLISTENHF1251_20140101T075159.804Z.wav,123.4862,125.0535,HB,
ICLISTENHF1251_20140101T075159.804Z.wav,226.7682,227.0294,FW,
ICLISTENHF1251_20140101T080159.805Z.wav,42.2572,42.5787,FW,
ICLISTENHF1251_20140101T080159.805Z.wav,69.01206,70.41862,HB,
ICLISTENHF1251_20140101T081159.808Z.wav,44.06564,44.5077,FW,
ICLISTENHF1251_20140101T081159.808Z.wav,101.4735,102.7997,HB,
ICLISTENHF1251_20140101T082159.810Z.wav,21.39987,22.20362,FW,
ICLISTENHF1251_20140101T082159.810Z.wav,39.39383,40.53917,HB,
ICLISTENHF1251_20140101T082159.810Z.wav,254.3268,255.1306,UN|D,
ICLISTENHF1251_20140101T083159.812Z.wav,25.36839,27.29739,HB,
